Keywords
Central LA
Community organizing
Community resilience
disproportionate impact
diverse communities
East LA
Eastside LA
El Sereno
Environmental activism
Environmental advocacy
environmental disruption
environmental disruptions
Environmental ethics
Environmental health disparities
Environmental impact assessments
environmental justice
Environmental racism
food insecure
food insecurity
frontline communities
intersectionality
Lincoln Heights
local communities
local community
local people
Los Angeles
neighborhood
neighborhoods
neighbors
nieghbor
non-white
pollution hotspot
pollution hotspots
pollution prevention
resource-poor
risk exposure
risk exposures
Sacrifice zones
South Central LA
South LA
sustainability
vulnerable
Boyle Heights
LA community
